From,To ,Capacity,CU (%)
3017744,3600569,2,0.075930144
2821360,3600569,9,0.341685649
2871072,2821144,3,0.113895216
2805012,2804245,8,0.303720577
2804245,2813516,61,2.3158694
2807815,3604576,3,0.113895216
2804228,2804977,3,0.113895216
3251263,2814793,5,0.189825361
2810122,3600569,5,0.189825361
2803985,3600569,3,0.113895216
3063081,3600569,2,0.075930144
2804936,3476984,5,0.189825361
2804887,2801145,3,0.113895216
2803760,3600569,3,0.113895216
3790745,3600569,2,0.075930144
2812651,2814793,6,0.227790433
2804066,2804977,3,0.113895216
2801432,2804245,2,0.075930144
2807783,2829641,3,0.113895216
2812701,2813516,3,0.113895216
2812600,3306697,3,0.113895216
2799160,2813516,3,0.113895216
2807778,3600569,3,0.113895216
2801510,2801145,2,0.075930144
2812414,2814793,2,0.075930144
2792758,2829641,2,0.075930144
2801659,2801015,2,0.075930144
2807720,2830460,3,0.113895216
2807756,3600569,10,0.379650721
2814733,3476979,2,0.075930144
2801029,2804920,12,0.455580866
2814422,2807756,2,0.075930144
2804920,2807699,19,0.721336371
2807606,3600569,2,0.075930144
2798914,2804245,2,0.075930144
2813493,3530413,3,0.113895216
2803623,2807699,3,0.113895216
2801212,3600569,2,0.075930144
2810075,3600569,2,0.075930144
2798868,2804245,2,0.075930144
2812677,2803720,2,0.075930144
2810137,2810122,2,0.075930144
2799427,2801086,2,0.075930144
2801719,2801029,3,0.113895216
2801454,2830460,2,0.075930144
2817503,2821360,3,0.113895216
2810017,2807699,6,0.227790433
2804977,3069914,20,0.759301443
2812698,2813516,2,0.075930144
2846950,2821144,3,0.113895216
2814858,2813516,3,0.113895216
2799038,2814793,2,0.075930144
2798853,2804977,3,0.113895216
2799253,2804245,2,0.075930144
3811788,3244582,2,0.075930144
3604576,3600569,5,0.189825361
2835019,2813516,3,0.113895216
3080650,2804209,3,0.113895216
2801587,2810576,3,0.113895216
2803567,3306697,2,0.075930144
2807652,2804146,3,0.113895216
2803921,2804245,2,0.075930144
2798855,2803707,5,0.189825361
2803822,2804977,3,0.113895216
2804021,2805012,3,0.113895216
2803661,2804209,3,0.113895216
2812376,2815021,3,0.113895216
2785395,2821144,3,0.113895216
2814372,2821144,2,0.075930144
3609232,3146811,3,0.113895216
2803735,3600569,12,0.455580866
2797755,3600569,3,0.113895216
2798872,2804209,2,0.075930144
2793055,2830471,2,0.075930144
2807630,2830501,3,0.113895216
2829641,3600569,32,1.214882308
2801382,3600569,3,0.113895216
2803397,2814793,4,0.151860289
2807922,2830471,6,0.227790433
2803915,3600569,2,0.075930144
2873809,3600569,3,0.113895216
2801145,2814793,10,0.379650721
2800977,2804209,2,0.075930144
2812702,2814793,3,0.113895216
2798998,2801145,2,0.075930144
2783424,3600569,15,0.569476082
2805229,2803735,2,0.075930144
2804879,3425629,3,0.113895216
2804670,2834810,3,0.113895216
2814786,2821144,3,0.113895216
2801511,2804245,2,0.075930144
2801247,2803397,2,0.075930144
2801086,2804245,4,0.151860289
2803592,2834802,2,0.075930144
2801589,2804209,2,0.075930144
2812640,3600569,2,0.075930144
2804209,3600569,20,0.759301443
2798949,3600569,3,0.113895216
2807640,3600569,5,0.189825361
2810179,3600569,2,0.075930144
2810139,3600569,3,0.113895216
2804043,2804977,2,0.075930144
3448193,2807756,2,0.075930144
2804978,2805129,3,0.113895216
2804991,2804245,3,0.113895216
2803502,2812651,3,0.113895216
2804142,2821144,2,0.075930144
2804003,3600569,2,0.075930144
2810118,3600569,2,0.075930144
2803875,2804245,3,0.113895216
2801630,2804245,3,0.113895216
2803737,2801140,3,0.113895216
2799144,2804245,2,0.075930144
2809979,3600569,2,0.075930144
2804957,2834758,2,0.075930144
2801333,2801140,2,0.075930144
2810141,2830501,3,0.113895216
2805234,2804977,2,0.075930144
2805030,2805129,2,0.075930144
2801592,2821144,3,0.113895216
2799414,3600569,2,0.075930144
2820277,2811553,3,0.113895216
2810576,2814793,6,0.227790433
2810308,2792585,2,0.075930144
2810146,3600569,3,0.113895216
2803514,2821144,2,0.075930144
2803578,2834802,3,0.113895216
2799037,2814793,3,0.113895216
2807696,3600569,3,0.113895216
3048585,3600569,3,0.113895216
2792585,2830471,5,0.189825361
2824995,2810017,3,0.113895216
2803708,3600569,3,0.113895216
2807699,3600569,36,1.366742597
2817752,2783424,3,0.113895216
2783455,2804146,2,0.075930144
2807947,2807922,3,0.113895216
2807637,3600569,3,0.113895216
2810115,2810014,3,0.113895216
2804007,2805012,2,0.075930144
2803720,3425629,4,0.151860289
