Id,Name,Type,EnableDataSending,EnableDataPassThrough,IsAggregate,IsCollapsed,DataToSend,MaxLatency,X,Y,Latitude,Longitude,EndPt,UserData
2791444,meter_4584,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.293508,-94.808874,[1],@$MeterRead8VM|1661;
2804691,meter_9414,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.268754,-94.836057,[1],@$MeterRead8NoVM|1198;
2808163,meter_10736,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.287994,-94.829842,[1],@$MeterRead8VM|1661;
2787662,meter_2260,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.282398,-94.812662,[1],@$MeterRead8NoVM|1198;
2796585,meter_7543,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.277027,-94.825618,[1],@$MeterRead8VM|1661;
2809471,meter_11549,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.299843,-94.783017,[1],@$MeterRead8NoVM|1198;
2788493,meter_2719,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.292996,-94.798755,[1],@$MeterRead8VM|1661;
3262609,meter_21266,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.294067,-94.803097,[1],@$MeterRead8VM|1661;
2835347,meter_16895,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.309749,-94.771483,[1],@$MeterRead8NoVM|1198;
2788865,meter_2923,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.290246,-94.803193,[1],@$MeterRead8VM|1661;
2814184,meter_13228,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.274967,-94.844144,[1],@$MeterRead8NoVM|1198;
2812936,meter_12863,Meter3,true,true,false,false,2084,18000,0.0,0.0,29.300431,-94.797897,[1],@$MeterRead8VM|2084;
3758907,meter_24029,Meter3,true,true,false,false,2084,18000,0.0,0.0,29.285118,-94.801061,[1],@$MeterRead8VM|2084;
2835450,meter_16993,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.312412,-94.767113,[1],@$MeterRead8VM|1661;
2831111,meter_15667,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.307183,-94.778378,[1],@$MeterRead8NoVM|1198;
2814987,meter_13605,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.272049,-94.817607,[1],@$MeterRead8VM|1661;
2793883,meter_6270,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.286957,-94.83134,[1],@$MeterRead8NoVM|1198;
2835211,meter_16767,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.311637,-94.770389,[1],@$MeterRead8NoVM|1198;
2792079,meter_4937,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.285232,-94.805319,[1],@$MeterRead8NoVM|1198;
2831017,meter_15587,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.308136,-94.777499,[1],@$MeterRead8VM|1661;
2792062,meter_4924,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.289351,-94.793199,[1],@$MeterRead8NoVM|1198;
2803512,meter_9003,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.26713,-94.827543,[1],@$MeterRead8NoVM|1198;
3487233,meter_22416,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.288465,-94.873676,[1],@$MeterRead8VM|1661;
2812526,meter_12763,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.274972,-94.824249,[1],@$MeterRead8NoVM|1198;
2795846,meter_6934,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.296594,-94.788097,[1],@$MeterRead8VM|1661;
2810406,meter_12039,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.287719,-94.828376,[1],@$MeterRead8VM|1661;
2809119,meter_11281,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.299245,-94.790718,[1],@$MeterRead8VM|1661;
2809041,meter_11227,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.294897,-94.788734,[1],@$MeterRead8VM|1661;
2803502,meter_8998,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.273452,-94.828371,[1],@$MeterRead8NoVM|1198;
2818085,meter_14302,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.298547,-94.779773,[1],@$MeterRead8VM|1661;
2783847,meter_925,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.284755,-94.80196,[1],@$MeterRead8VM|1661;
2895846,meter_19111,Meter3,true,true,false,false,1049,18000,0.0,0.0,29.273225,-94.835653,[1],@$MeterRead8NoVM|1049;
2804921,meter_9444,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.267779,-94.836229,[1],@$MeterRead8NoVM|1198;
2788158,meter_2448,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.295416,-94.803987,[1],@$MeterRead8NoVM|1198;
2798877,meter_8224,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.267779,-94.836229,[1],@$MeterRead8NoVM|1198;
